Drug_Name,Indication
1-Palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)),Palmitoyloleoyl-phosphatidylglycerol was a component of Surfaxin which was indicated for the prevention of respiratory distress syndrome in premature infants.
"2,2'-Dibenzothiazyl disulfide","2,2'-Dibenzothiazyl disulfide is approved for use within allergenic epicutaneous patch tests which are indicated for use as an aid in the diagnosis of allergic contact dermatitis (ACD) in persons 6 years of age and older."
4-(Isopropylamino)diphenylamine,4-(Isopropylamino)diphenylamine is approved for use within allergenic epicutaneous patch tests which are indicated for use as an aid in the diagnosis of allergic contact dermatitis (ACD) in persons 6 years of age and older.
Abacavir,Abacavir is indicated in combination with other anti-retroviral agents for the treatment of HIV-1 infection.[L30400] It is available in a combination product alongside [dolutegravir] and [lamivudine] for the treatment of adult and pediatric patients with HIV-1 who weigh ≥10 kg.[L41365]
Abaloparatide,"Abaloparatide is indicated for the treatment of postmenopausal women with osteoporosis at high risk for fracture (defined as a history of osteoporotic fracture or multiple risk factors for fracture) [L740,L44737] or patients who have failed or are intolerant to other available osteoporosis therapy.[L740] In postmenopausal women with osteoporosis, abaloparatide reduces the risk of vertebral and nonvertebral fractures.[L740] Abaloparatide is also indicated to increase bone density in men with osteoporosis at high risk for fracture (defined as a history of osteoporotic fracture or multiple risk factors for fracture) or patients who have failed or are intolerant to other available osteoporosis therapy.[L740]"
Abametapir,"Abametapir is indicated, in the context of an overall lice management program, for the topical treatment of head lice infestation in patients 6 months of age and older.[L15153]"
Abarelix,For palliative treatment of advanced prostate cancer.
Abatacept,"Abatacept is indicated in adult patients for the treatment of moderately-to-severely active rheumatoid arthritis and in patients ≥2 years of age for the treatment of active psoriatic arthritis.[L48811] In patients two years of age and older, abatacept is also indicated for the treatment of moderately-to-severely active juvenile idiopathic arthritis.[L20504] Abatacept is also indicated for the prophylaxis of acute graft-versus-host disease, in combination with [methotrexate] and a calcineurin inhibitor such as [tacrolimus], in patients two years of age and older who are undergoing hematopoietic stem cell transplantation from a matched or 1 allele-mismatched unrelated donor.[L20504]"
Abciximab,Abciximab is indicated as an adjunct to percutaneous coronary intervention for the prevention of cardiac ischemic complications in patients undergoing percutaneous coronary intervention and in patients with unstable angina not responding to conventional medical therapy when percutaneous coronary intervention is planned within 24 hours. Abciximab is intended for use with aspirin and heparin and has been studied only in that setting.
Abemaciclib,"* Indicated in combination with fulvestrant for the treatment of women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer with disease progression following endocrine therapy. * Inidicated as monotherapy for the treatment of adult patients with HR-positive, HER2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting."
Abiraterone,"Abiraterone is indicated for the treatment of **metastatic castration-resistant prostate cancer (mCRPC)** in combination with [methylprednisolone] [L40968] or [prednisone].[L40193, L47740, L47745] In Europe and Canada, it is also used in patients with mCRPC who are asymptomatic or mildly symptomatic after the failure of androgen deprivation therapy for whom chemotherapy is not yet clinically indicated.[L47740, L47745] In Europe, it is used in patients whose disease has progressed on or after a docetaxel-based chemotherapy regimen.[L47740] In Canada, it is used in patients who have received prior chemotherapy containing [docetaxel] after the failure of androgen deprivation therapy.[L47745] Abiraterone is indicated in combination with [prednisone] for the treatment of **metastatic high-risk castration-sensitive prostate cancer (CSPC)**.[L40193] In Europe and Canada, it may also be used in combination with [prednisolone] and androgen deprivation therapy in newly diagnosed patients.[L47740, L47745] In Canada and the US, abiraterone is also available in a combination product with [niraparib], which is indicated with [prednisone] for the treatment of adults with deleterious or suspected deleterious BRCA-mutated (BRCAm) mCRPC.[L46896, L47755] In Canada, this combination product is also used with [prednisolone] and is reserved for patients who are asymptomatic or mildly symptomatic, and in whom chemotherapy is not clinically indicated.[L46896]"
Abrocitinib,"Abrocitinib is indicated for the treatment of moderate-to-severe atopic dermatitis in adults who are candidates for systemic therapy.[L39774] In the US, it is indicated to treat refractory, moderate-to-severe atopic dermatitis whose disease is not adequately controlled with other systemic drug products, including biologics, or when the use of those therapies is inadvisable.[L39769] Abrocitinib is not recommended for use in combination with other JAK inhibitors, biologic immunomodulators, or other immunosuppressants.[L39769]"
Acalabrutinib,Acalabrutinib is currently indicated for the treatment of adult patients with Mantle Cell Lymphoma (MCL) who have received at least one prior therapy.[L10241] It has also been recently approved for chronic lymphocytic leukemia and small lymphocytic lymphoma.[L10241]
Acamprosate,Acamprosate is indicated for the maintenance of abstinence from alcohol in patients with alcohol dependence who are abstinent at treatment initiation. It is also indicated for the maintenance of alcohol abstinence in patients who have undergone alcohol detoxification. This drug should be used with a psychosocial support program providing adequate support.[L31738]
Acarbose,Acarbose is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.[L31628]
Acebutolol,For the management of hypertension and ventricular premature beats in adults.
Aceclofenac,"Aceclofenac is indicated for the relief of pain and inflammation in osteoarthritis, rheumatoid arthritis and ankylosing spondylitis."
